UF;NACIONALIDADE;CLASSIFICACAO;QTD
SC;EQUADOR;Temporário;128
SC;PALESTINA;Residente;75
SC;IÊMEN;Residente;56
SC;REP. DOMINICANA;Provisório;135
SC;SUÉCIA;Residente;62
SC;TUNÍSIA;Residente;41
SC;MÉXICO;Temporário;30
SC;QUÊNIA;Provisório;1
SC;JORDÂNIA;Residente;113
SC;ESLOVÁQUIA;Residente;10
SC;REINO UNIDO;Temporário;44
SC;NORUEGA;Residente;39
SC;EGITO;Temporário;4
SC;GUATEMALA;Residente;18
SC;TCHECOSLOVAQUIA;Residente;5
SC;SÉRVIA;Residente;14
SC;ROMÊNIA;Residente;48
SC;PORTUGAL;Temporário;94
SC;GRÉCIA;Residente;40
SC;EGITO;Provisório;9
SC;EQUADOR;Provisório;21
SC;BOLÍVIA;Provisório;21
SC;INDIA;Temporário;8
SC;NIGÉRIA;Residente;41
SC;SUÉCIA;Temporário;10
SC;MOÇAMBIQUE;Residente;31
SC;COLÔMBIA;Provisório;156
SC;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;6
SC;UCRÂNIA;Temporário;27
SC;ARGÉLIA;Residente;14
SC;TOGO;Provisório;73
SC;PALESTINA;Temporário;1
SC;PANAMÁ;Residente;15
SC;MARROCOS;Provisório;73
SC;TURQUIA;Provisório;1
SC;CAZAQUISTÃO;Residente;20
SC;REPÚBLICA TCHECA;Residente;22
SC;SUÍCA;Temporário;6
SC;BULGÁRIA;Residente;15
SC;CINGAPURA;Residente;2
SC;PAQUISTÃO;Residente;68
SC;ISRAEL;Residente;89
SC;GUIANA;Residente;5
SC;TOGO;Residente;153
SC;ARGÉLIA;Provisório;1
SC;ESPANHA;Temporário;18
SC;GANA;Residente;453
SC;BÉLGICA;Residente;82
SC;QUIRGUISTÃO;Residente;7
SC;CHILE;Provisório;16
SC;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;11
SC;SUDÃO;Residente;5
SC;HONDURAS;Provisório;1
SC;SURINAME;Temporário;10
SC;AUSTRIA;Temporário;6
SC;IRÃ;Provisório;29
SC;AFRICA DO SUL;Residente;34
SC;NORUEGA;Temporário;19
SC;SÍRIA;Temporário;4
SC;FRANÇA;Temporário;54
SC;CONGO;Temporário;32
SC;CABO VERDE;Temporário;25
SC;UGANDA;Residente;4
SC;INDONÉSIA;Residente;9
SC;BARBADOS;Residente;1
SC;ARMÊNIA;Provisório;2
SC;AFRICA DO SUL;Temporário;3
SC;NICARÁGUA;Temporário;1
SC;AFRICA DO SUL;Provisório;4
SC;ITÁLIA;Provisório;2
SC;BENIN;Residente;25
SC;HAITI;Provisório;88
SC;CAZAQUISTÃO;Provisório;8
SC;FINLÂNDIA;Provisório;2
SC;FINLÂNDIA;Residente;18
SC;TRINIDAD E TOBAGO;Provisório;6
SC;IRÃ;Temporário;10
SC;COSTA DO MARFIM;Temporário;3
SC;GABÃO;Temporário;12
SC;HONDURAS;Temporário;11
SC;CHINA;Temporário;103
SC;EL SALVADOR;Residente;26
SC;UZBEQUISTÃO;Residente;7
SC;AZERBAIJÃO;Residente;3
SC;CAMARÕES;Residente;6
SC;PAÍSES BAIXOS;Temporário;16
SC;QUÊNIA;Residente;14
SC;NAMÍBIA;Provisório;4
SC;SENEGAL;Temporário;39
SC;APÁTRIDA;Residente;17
SC;LITUÂNIA;Residente;13
SC;AFEGANISTÃO;Temporário;10
SC;MYANMAR;Residente;2
SC;SAN MARINO;Residente;1
SC;ALEMANHA;Provisório;7
SC;CANADÁ;Temporário;16
SC;BULGÁRIA;Temporário;2
SC;ALBÂNIA;Temporário;1
SC;BANGLADESH;Residente;85
SC;SUDÃO;Provisório;2
SC;MACEDÔNIA;Residente;4
SC;JAPÃO;Temporário;4
SC;TURQUIA;Temporário;1
SC;MOÇAMBIQUE;Provisório;1
SC;BERMUDAS;Residente;1
SC;TUNÍSIA;Temporário;7
SC;TURCOMENISTÃO;Residente;1
SC;SENEGAL;Provisório;3
SC;ESTÔNIA;Residente;6
SC;NEPAL;Residente;1
SC;SÍRIA;Provisório;2
SC;BÉLGICA;Provisório;1
SC;BENIN;Temporário;17
SC;SÉRVIA;Temporário;1
SC;GUIANA;Temporário;11
SC;PARAGUAI;Provisório;12
SC;ANGOLA;Provisório;13
SC;JAMAICA;Residente;4
SC;LETÔNIA;Residente;8
SC;IRLANDA;Temporário;3
SC;INDIA;Provisório;3
SC;FINLÂNDIA;Temporário;2
SC;HONDURAS;Residente;14
SC;ANDORRA;Residente;1
SC;ESLOVÊNIA;Residente;3
SC;GUIANA FRANCESA;Residente;6
SC;LIBÉRIA;Residente;2
SC;BÉLGICA;Temporário;15
SC;ESLOVÁQUIA;Temporário;3
SC;FILIPINAS;Temporário;7
SC;GRÉCIA;Temporário;3
SC;MALÁSIA;Residente;4
SC;IUGUSLAVIA;Residente;3
SC;CHINA;Provisório;3
SC;MAURITÂNIA;Residente;5
SC;TAILÂNDIA;Residente;6
SC;GUIANA;Provisório;3
SC;REPÚBLICA TCHECA;Temporário;5
SC;NIGÉRIA;Temporário;6
SC;URUGUAI;Provisório;4
SC;VIETINA;Residente;4
SC;BÓSNIA-HERZEGOVINA;Residente;1
SC;GUINÉ BISSAU;Provisório;1
SC;LUXEMBURGO;Residente;4
SC;NICARÁGUA;Provisório;3
SC;KUAITE;Residente;2
SC;COSTA RICA;Provisório;3
SC;ARMÊNIA;Residente;6
SC;CAMARÕES;Temporário;2
SC;COSTA RICA;Temporário;5
SC;ZÂMBIA;Residente;2
SC;SAMOA OCIDENTAL;Residente;2
SC;MAURÍCIO;Residente;1
SC;GUIANA FRANCESA;Provisório;5
SC;GEÓRGIA;Residente;2
SC;ARÁBIA SAUDITA;Residente;7
SC;ALBÂNIA;Residente;9
SC;NIGÉRIA;Provisório;1
SC;SAO TOMÉ E PRÍNCIPE;Residente;5
SC;HUNGRIA;Temporário;3
SC;GUINÉ EQUATORIAL;Temporário;7
SC;TANZÂNIA;Residente;4
SC;IÊMEN;Provisório;2
SC;ROMÊNIA;Temporário;1
SC;LÍBANO;Provisório;11
SC;SAO TOMÉ E PRÍNCIPE;Temporário;5
SC;UNIÃO SOVIÉTICA;Residente;4
SC;CATAR;Residente;2
SC;SURINAME;Provisório;1
SC;CAZAQUISTÃO;Temporário;1
SC;MARROCOS;Temporário;5
SC;NAMÍBIA;Residente;2
SC;PORTO RICO;Temporário;1
RJ;ITÁLIA;Residente;7005
RJ;CHILE;Residente;2798
RJ;PERU;Residente;2812
RJ;PORTUGAL;Residente;57872
RJ;ARGENTINA;Residente;15428
RJ;ALEMANHA;Residente;3431
RJ;ESPANHA;Residente;6765
RJ;ESTADOS UNIDOS;Residente;5453
RJ;MOÇAMBIQUE;Residente;66
RJ;SÍRIA;Residente;546
RJ;COLÔMBIA;Temporário;1659
RJ;CHINA;Residente;5670
RJ;EQUADOR;Residente;641
RJ;CUBA;Residente;786
RJ;BANGLADESH;Residente;22
RJ;VENEZUELA;Residente;4227
RJ;FRANÇA;Residente;5341
RJ;ANGOLA;Residente;2390
RJ;CUBA;Provisório;250
RJ;POLÔNIA;Residente;412
RJ;EQUADOR;Temporário;619
RJ;FINLÂNDIA;Residente;124
RJ;ALEMANHA;Temporário;301
RJ;CROÁCIA;Residente;36
RJ;COLÔMBIA;Residente;3093
RJ;PAQUISTÃO;Residente;85
RJ;NORUEGA;Residente;596
RJ;SUÍCA;Residente;1133
RJ;CHINA;Temporário;481
RJ;CANADÁ;Residente;570
RJ;JAPÃO;Residente;2139
RJ;MOÇAMBIQUE;Temporário;115
RJ;BOLÍVIA;Residente;1502
RJ;MÉXICO;Residente;787
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;164
RJ;URUGUAI;Residente;2221
RJ;REINO UNIDO;Residente;2385
RJ;REP. DOMINICANA;Residente;77
RJ;GUATEMALA;Residente;57
RJ;IRLANDA;Residente;156
RJ;PAÍSES BAIXOS;Temporário;110
RJ;PARAGUAI;Residente;667
RJ;BANGLADESH;Temporário;15
RJ;PERU;Temporário;923
RJ;SERVIA E MONTENEGRO;Residente;83
RJ;TURQUIA;Residente;126
RJ;PAÍSES BAIXOS;Residente;1047
RJ;UGANDA;Residente;6
RJ;CORÉIA DO SUL;Residente;241
RJ;DINAMARCA;Residente;316
RJ;AFEGANISTÃO;Residente;21
RJ;BÉLGICA;Residente;515
RJ;GUINÉ BISSAU;Residente;73
RJ;NIGÉRIA;Residente;211
RJ;CONGO;Residente;262
RJ;VENEZUELA;Provisório;242
RJ;PANAMÁ;Residente;98
RJ;AUSTRIA;Residente;454
RJ;INDIA;Residente;336
RJ;BOLÍVIA;Temporário;340
RJ;UCRÂNIA;Residente;88
RJ;APÁTRIDA;Residente;91
RJ;LÍBANO;Residente;563
RJ;HONDURAS;Residente;46
RJ;INDONÉSIA;Residente;52
RJ;RÚSSIA;Residente;974
RJ;NICARÁGUA;Residente;80
RJ;CABO VERDE;Residente;122
RJ;ANGOLA;Temporário;506
RJ;PORTUGAL;Temporário;402
RJ;BELARUS;Residente;41
RJ;GRÉCIA;Residente;235
RJ;GANA;Residente;106
RJ;PARAGUAI;Temporário;180
RJ;SAO TOMÉ E PRÍNCIPE;Residente;24
RJ;HUNGRIA;Residente;133
RJ;VENEZUELA;Temporário;1456
RJ;HAITI;Residente;1391
RJ;REPÚBLICA TCHECA;Residente;53
RJ;ARGENTINA;Temporário;1303
RJ;MÉXICO;Temporário;446
RJ;FILIPINAS;Residente;182
RJ;BANGLADESH;Provisório;15
RJ;CUBA;Temporário;72
RJ;SENEGAL;Residente;338
RJ;SUÉCIA;Residente;462
RJ;REINO UNIDO;Temporário;845
RJ;TOGO;Residente;32
RJ;ROMÊNIA;Residente;166
RJ;TAILÂNDIA;Residente;37
RJ;JORDÂNIA;Residente;57
RJ;GUIANA FRANCESA;Residente;38
RJ;UNIÃO SOVIÉTICA;Residente;16
RJ;CHILE;Temporário;715
RJ;ESTÔNIA;Residente;27
RJ;ESTADOS UNIDOS;Temporário;1053
RJ;HONDURAS;Temporário;16
RJ;BENIN;Residente;49
RJ;HAITI;Temporário;155
RJ;ITÁLIA;Temporário;283
RJ;MARROCOS;Residente;127
RJ;LITUÂNIA;Residente;63
RJ;EL SALVADOR;Residente;69
RJ;AUSTRIA;Temporário;25
RJ;TAIWAN, PROVINCIA DA CHINA;Residente;8
RJ;AFRICA DO SUL;Residente;152
RJ;TCHECOSLOVAQUIA;Residente;43
RJ;BULGÁRIA;Residente;31
RJ;RÚSSIA;Provisório;68
RJ;INDIA;Temporário;631
RJ;INDONÉSIA;Temporário;69
RJ;GUINÉ;Residente;27
RJ;SERRA LEOA;Residente;14
RJ;GÂMBIA;Residente;2
RJ;GANA;Temporário;52
RJ;GUINÉ BISSAU;Temporário;34
RJ;ARGÉLIA;Residente;33
RJ;COSTA RICA;Residente;92
RJ;HONG-KONG (R.A.E.);Residente;5
RJ;VIETINA;Residente;20
RJ;NOVA ZELÂNDIA;Residente;78
RJ;UZBEQUISTÃO;Residente;12
RJ;TUNÍSIA;Residente;41
RJ;AUSTRÁLIA;Residente;285
RJ;REPÚBLICA TCHECA;Temporário;11
RJ;PALESTINA;Residente;22
RJ;TANZÂNIA;Residente;1
RJ;LIBÉRIA;Residente;20
RJ;CABO VERDE;Temporário;37
RJ;ISRAEL;Residente;233
RJ;EQUADOR;Provisório;12
RJ;BURKINA FASO;Residente;9
RJ;IRAQUE;Residente;63
RJ;CINGAPURA;Residente;51
RJ;SRI LANKA;Residente;9
RJ;COSTA RICA;Temporário;12
RJ;HUNGRIA;Temporário;9
RJ;GUIANA;Residente;5
RJ;AFEGANISTÃO;Temporário;38
RJ;NIGÉRIA;Temporário;60
RJ;SAO TOMÉ E PRÍNCIPE;Temporário;20
RJ;FRANÇA;Temporário;1053
RJ;BENIN;Provisório;7
RJ;ANGOLA;Provisório;43
RJ;IRÃ;Residente;101
RJ;CAMARÕES;Residente;48
RJ;FILIPINAS;Temporário;1324
RJ;CONGO;Temporário;34
RJ;SUÍCA;Temporário;45
RJ;ESLOVÊNIA;Residente;15
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;11
RJ;MOLDOVA;Residente;8
RJ;COLÔMBIA;Provisório;157
RJ;NORUEGA;Temporário;433
RJ;REP. DOMINICANA;Temporário;152
RJ;MALÁSIA;Residente;63
RJ;MALÁSIA;Temporário;217
RJ;POLÔNIA;Temporário;480
RJ;SUÉCIA;Temporário;52
RJ;JAPÃO;Temporário;80
RJ;RÚSSIA;Temporário;207
RJ;GUADALUPE;Residente;1
RJ;ROMÊNIA;Temporário;144
RJ;TURQUIA;Temporário;153
RJ;BULGÁRIA;Temporário;85
RJ;DINAMARCA;Temporário;100
RJ;GANA;Provisório;10
RJ;GEÓRGIA;Temporário;6
RJ;IRÃ;Provisório;10
RJ;ARÁBIA SAUDITA;Residente;7
RJ;CROÁCIA;Temporário;123
RJ;AFRICA DO SUL;Temporário;114
RJ;UCRÂNIA;Temporário;200
RJ;SAN MARINO;Residente;2
RJ;QUÊNIA;Temporário;16
RJ;EGITO;Residente;102
RJ;ESPANHA;Temporário;133
RJ;SENEGAL;Provisório;6
RJ;CANADÁ;Temporário;115
RJ;URUGUAI;Provisório;4
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Provisório;16
RJ;LIECHTENSTEIN;Residente;8
RJ;MADAGASCAR;Residente;3
RJ;ISRAEL;Temporário;15
RJ;PERU;Provisório;14
RJ;MARROCOS;Provisório;25
RJ;GUINÉ;Provisório;9
RJ;PARAGUAI;Provisório;4
RJ;PAQUISTÃO;Temporário;19
RJ;EGITO;Temporário;13
RJ;CONGO;Provisório;7
RJ;CINGAPURA;Temporário;73
RJ;FINLÂNDIA;Temporário;26
RJ;PAÍSES BAIXOS;Provisório;4
RJ;LETÔNIA;Temporário;52
RJ;GRANADA;Residente;3
RJ;AZERBAIJÃO;Temporário;15
RJ;ARGENTINA;Provisório;21
RJ;CAZAQUISTÃO;Provisório;3
RJ;BELARUS;Provisório;7
RJ;GRÉCIA;Temporário;19
RJ;MAURÍCIO;Residente;6
RJ;AUSTRÁLIA;Temporário;49
RJ;LUXEMBURGO;Temporário;2
RJ;GUATEMALA;Temporário;8
RJ;ESPANHA;Provisório;1
RJ;SÉRVIA;Residente;35
RJ;NAMÍBIA;Residente;3
RJ;CAMARÕES;Temporário;8
RJ;BÉLGICA;Temporário;59
RJ;IRLANDA;Temporário;28
RJ;IRÃ;Temporário;29
RJ;ESLOVÁQUIA;Residente;16
RJ;CORÉIA DO SUL;Temporário;47
RJ;COSTA DO MARFIM;Temporário;9
RJ;PORTO RICO;Residente;6
RJ;SÍRIA;Provisório;7
RJ;VIETINA;Temporário;10
RJ;CHINA;Provisório;5
RJ;COSTA DO MARFIM;Residente;22
RJ;QUÊNIA;Residente;12
RJ;LETÔNIA;Residente;16
RJ;LÍBIA;Residente;18
RJ;SENEGAL;Temporário;11
RJ;ARMÊNIA;Residente;14
RJ;JAMAICA;Residente;6
RJ;BENIN;Temporário;27
RJ;UCRÂNIA;Provisório;3
RJ;MALTA;Temporário;8
RJ;FRANÇA;Provisório;6
RJ;QUÊNIA;Provisório;1
RJ;SUDÃO;Residente;5
RJ;TURCOMENISTÃO;Residente;1
RJ;SÍRIA;Temporário;9
RJ;TRINIDAD E TOBAGO;Residente;39
RJ;PORTUGAL;Provisório;3
RJ;POLINÉSIA FRANCESA;Residente;1
RJ;LITUÂNIA;Temporário;34
RJ;ISRAEL;Provisório;4
RJ;GÂMBIA;Provisório;1
RJ;BARBADOS;Residente;5
RJ;NOVA ZELÂNDIA;Temporário;16
RJ;MYANMAR;Temporário;58
RJ;URUGUAI;Temporário;10
RJ;REP. DOMINICANA;Provisório;18
RJ;BURKINA FASO;Temporário;1
RJ;GABÃO;Temporário;21
RJ;SRI LANKA;Temporário;1
RJ;TRINIDAD E TOBAGO;Temporário;21
RJ;ISLÂNDIA;Residente;7
RJ;MALI;Residente;8
RJ;TURQUIA;Provisório;9
RJ;MALÁSIA;Provisório;1
RJ;PANAMÁ;Temporário;20
RJ;ESLOVÊNIA;Temporário;3
RJ;TUNÍSIA;Provisório;21
RJ;BOLÍVIA;Provisório;5
RJ;CAZAQUISTÃO;Residente;24
RJ;MOÇAMBIQUE;Provisório;3
RJ;SURINAME;Residente;3
RJ;CAZAQUISTÃO;Temporário;9
RJ;VIETNAM DO NORTE;Residente;6
RJ;REP. CENTRO AFRICANA;Residente;2
RJ;NICARÁGUA;Temporário;1
RJ;QUIRGUISTÃO;Residente;7
RJ;NAMÍBIA;Temporário;6
RJ;CORÉIA DO SUL;Provisório;3
RJ;BHUTAN;Residente;1
RJ;JAMAICA;Temporário;9
RJ;LUXEMBURGO;Residente;10
RJ;ISLÂNDIA;Temporário;2
RJ;SUAZILÂNDIA;Residente;1
RJ;MALTA;Residente;5
RJ;CAMARÕES;Provisório;1
RJ;TADJIQUISTÃO;Temporário;1
RJ;ALBÂNIA;Residente;6
RJ;GUINÉ EQUATORIAL;Residente;1
RJ;ZIMBÁBUE;Temporário;1
RJ;LÍBIA;Temporário;2
RJ;MOLDOVA;Provisório;1
RJ;REP. MONTENEGRO;Temporário;5
RJ;RUANDA;Temporário;2
RJ;GEÓRGIA;Residente;4
RJ;GUINÉ EQUATORIAL;Temporário;9
RJ;FILIPINAS;Provisório;9
RJ;UZBEQUISTÃO;Temporário;1
RJ;MARROCOS;Temporário;9
RJ;PAQUISTÃO;Provisório;7
RJ;MÉXICO;Provisório;8
RJ;BAREINE;Residente;1
RJ;GUIANA;Temporário;13
RJ;INDIA;Provisório;3
RJ;REINO UNIDO;Provisório;1
RJ;TUNÍSIA;Temporário;6
RJ;SURINAME;Temporário;1
RJ;POLÔNIA;Provisório;2
RJ;ZIMBÁBUE;Residente;10
RJ;SÉRVIA;Temporário;6
RJ;IÊMEN;Residente;8
RJ;MACEDÔNIA;Residente;1
RJ;TOGO;Provisório;2
RJ;GABÃO;Residente;6
RJ;NIGÉRIA;Provisório;11
RJ;IUGUSLAVIA;Residente;1
RJ;AFRICA DO SUL;Provisório;2
RJ;SAMOA OCIDENTAL;Residente;2
RJ;ESTÔNIA;Temporário;4
RJ;ETIÓPIA;Temporário;2
RJ;ITÁLIA;Provisório;5
RJ;HAITI;Provisório;2
RJ;BÓSNIA-HERZEGOVINA;Residente;3
RJ;CHILE;Provisório;3
RJ;ESTADOS UNIDOS;Provisório;9
RJ;MACEDÔNIA;Provisório;1
RJ;ARGÉLIA;Provisório;1
RJ;DOMINICA;Residente;2
RJ;TURCOMENISTÃO;Temporário;1
RJ;TERRIT. BRIT. DO OCEANO INDICO;Residente;1
RJ;HONDURAS;Provisório;1
RJ;JORDÂNIA;Provisório;2
RJ;ETIÓPIA;Residente;2
RJ;BURKINA FASO;Provisório;1
RJ;SANTA HELENA;Residente;1
RJ;COSTA DO MARFIM;Provisório;1
RJ;PANAMÁ, ZONA DO CANAL;Residente;1
RJ;ANDORRA;Residente;2
RJ;UGANDA;Temporário;2
RJ;GUINÉ;Temporário;1
RJ;BURUNDI;Residente;2
RJ;BAHAMA,IS;Residente;3
RJ;FEROES, IS;Residente;2
RJ;Montenegro;Residente;1
RJ;ALBÂNIA;Temporário;1
RJ;LÍBANO;Temporário;6
RJ;ANTÍGUA;Residente;1
RJ;TAILÂNDIA;Temporário;38
RJ;MONGÓLIA;Residente;1
RJ;AUSTRIA;Provisório;1
RJ;SOMÁLIA;Residente;1
RJ;DOMINICA;Temporário;1
RJ;TAILÂNDIA;Provisório;2
RJ;TANZÂNIA;Temporário;3
RJ;MASCATE;Residente;1
RJ;ZÂMBIA;Residente;4
RJ;TURCAS E CAICOS;Residente;1
RJ;POLÔNIA;Residente;1
RJ;ARGÉLIA;Temporário;2
RJ;TREGUA, ESTADO;Residente;1
RJ;ARÁBIA SAUDITA;Temporário;1
RJ;TOGO;Temporário;1
RJ;FIJI, ILHAS;Residente;1
RJ;GUINÉ BISSAU;Provisório;2
RJ;PALESTINA;Provisório;1
RJ;NÍGER;Residente;4
RJ;CABO VERDE;Provisório;1
RJ;ZIMBÁBUE;Provisório;1
RJ;LÍBANO;Provisório;2
RJ;NICARÁGUA;Provisório;1
RJ;ILHAS CAYMAN;Provisório;1
RJ;ESLOVÁQUIA;Temporário;2
RJ;AZERBAIJÃO;Residente;2
RJ;EL SALVADOR;Temporário;3
RJ;KUAITE;Residente;2
RJ;CHIPRE;Residente;1
RJ;GUATEMALA;Provisório;1
SP;Montenegro;Residente;4
SP;BOTSUANA;Temporário;3
SP;ANTARTICO BRITANICO,TERRITORIO;Residente;1
RS;VENEZUELA;Temporário;23274
RS;VENEZUELA;Residente;26894
RS;HAITI;Residente;14409
RS;CUBA;Provisório;2648
RS;PORTUGAL;Residente;1662
RS;ESTADOS UNIDOS;Residente;903
RS;ARGENTINA;Residente;10610
RS;ITÁLIA;Residente;1165
RS;MÉXICO;Residente;177
RS;COLÔMBIA;Temporário;1265
RS;COLÔMBIA;Residente;2289
RS;BOLÍVIA;Residente;375
RS;CHINA;Residente;679
RS;AUSTRIA;Residente;79
RS;JORDÂNIA;Residente;441
RS;JAPÃO;Residente;802
RS;EQUADOR;Residente;287
RS;PANAMÁ;Residente;41
RS;CUBA;Residente;1326
RS;URUGUAI;Residente;34136
RS;CANADÁ;Residente;132
RS;PERU;Temporário;368
RS;SENEGAL;Residente;3060
RS;EQUADOR;Temporário;179
RS;ARGENTINA;Temporário;766
RS;PERU;Residente;905
RS;CHILE;Residente;1276
RS;MOÇAMBIQUE;Temporário;179
RS;ALEMANHA;Residente;1163
RS;GUINÉ BISSAU;Residente;69
RS;UNIÃO SOVIÉTICA;Residente;11
RS;AFRICA DO SUL;Residente;21
RS;IRLANDA;Residente;33
RS;APÁTRIDA;Residente;70
RS;POLÔNIA;Residente;244
RS;HAITI;Temporário;1429
RS;VENEZUELA;Provisório;1074
RS;ESPANHA;Residente;714
RS;COSTA RICA;Temporário;10
RS;ARGENTINA;Provisório;42
RS;ITÁLIA;Temporário;56
RS;GUINÉ;Residente;41
RS;BANGLADESH;Residente;251
RS;REINO UNIDO;Residente;276
RS;TOGO;Residente;19
RS;PARAGUAI;Residente;958
RS;LÍBANO;Residente;120
RS;CORÉIA DO SUL;Residente;163
RS;ISRAEL;Residente;33
RS;NIGÉRIA;Residente;42
RS;FRANÇA;Residente;364
RS;PAÍSES BAIXOS;Residente;179
RS;COSTA RICA;Residente;35
RS;NORUEGA;Residente;21
RS;SURINAME;Temporário;5
RS;CUBA;Temporário;117
RS;CHILE;Temporário;171
RS;GANA;Residente;213
RS;CONGO;Provisório;12
RS;PARAGUAI;Provisório;2
RS;PAQUISTÃO;Residente;54
RS;PARAGUAI;Temporário;429
RS;NICARÁGUA;Residente;45
RS;REINO UNIDO;Temporário;11
RS;ANGOLA;Temporário;273
RS;BENIN;Temporário;29
RS;GUINÉ BISSAU;Temporário;151
RS;URUGUAI;Fronteiriço;7008
RS;GÂMBIA;Residente;21
RS;EQUADOR;Provisório;8
RS;COLÔMBIA;Provisório;78
RS;TUNÍSIA;Residente;32
RS;PANAMÁ;Temporário;7
RS;PAÍSES BAIXOS;Temporário;5
RS;CHINA;Temporário;69
RS;BOLÍVIA;Temporário;100
RS;REP. DOMINICANA;Residente;164
RS;BENIN;Residente;17
RS;SUÍCA;Residente;104
RS;CINGAPURA;Residente;3
RS;SERVIA E MONTENEGRO;Residente;15
RS;ALEMANHA;Temporário;64
RS;GRÉCIA;Residente;57
RS;PAQUISTÃO;Temporário;37
RS;ESTADOS UNIDOS;Temporário;195
RS;REP. DOMINICANA;Temporário;10
RS;MÉXICO;Temporário;31
RS;FILIPINAS;Temporário;10
RS;SÍRIA;Residente;76
RS;INDIA;Temporário;24
RS;UCRÂNIA;Residente;32
RS;MARROCOS;Residente;67
RS;IRÃ;Residente;21
RS;EL SALVADOR;Residente;57
RS;SENEGAL;Provisório;60
RS;AUSTRÁLIA;Residente;69
RS;PALESTINA;Residente;165
RS;ANGOLA;Residente;118
RS;ESTÔNIA;Residente;3
RS;RÚSSIA;Residente;146
RS;TAILÂNDIA;Residente;8
RS;ESLOVÁQUIA;Residente;5
RS;PERU;Provisório;27
RS;CONGO;Temporário;45
RS;DINAMARCA;Residente;24
RS;ROMÊNIA;Residente;48
RS;GUATEMALA;Temporário;7
RS;TURQUIA;Residente;62
RS;TAIWAN, PROVINCIA DA CHINA;Residente;17
RS;REP. DOMINICANA;Provisório;98
RS;PORTUGAL;Temporário;39
RS;CABO VERDE;Residente;33
RS;MALÁSIA;Residente;42
RS;NAMÍBIA;Temporário;2
RS;TCHECOSLOVAQUIA;Residente;7
RS;PALESTINA;Provisório;6
RS;CROÁCIA;Residente;8
RS;QUIRGUISTÃO;Temporário;1
RS;GABÃO;Residente;1
RS;GUATEMALA;Residente;30
RS;HONDURAS;Residente;51
RS;AFEGANISTÃO;Temporário;11
RS;NIGÉRIA;Temporário;49
RS;TANZÂNIA;Residente;1
RS;RÚSSIA;Temporário;13
RS;DINAMARCA;Temporário;3
RS;CABO VERDE;Temporário;43
RS;SURINAME;Residente;3
RS;UCRÂNIA;Temporário;5
RS;FRANÇA;Temporário;20
RS;GANA;Temporário;33
RS;FILIPINAS;Residente;59
RS;MOÇAMBIQUE;Residente;35
RS;SUÉCIA;Residente;49
RS;BÉLGICA;Residente;60
RS;COSTA DO MARFIM;Residente;14
RS;EGITO;Residente;40
RS;ALBÂNIA;Residente;6
RS;INDIA;Residente;44
RS;CAMARÕES;Residente;9
RS;MARROCOS;Provisório;45
RS;BÉLGICA;Temporário;9
RS;BARBADOS;Residente;1
RS;IRAQUE;Residente;14
RS;BHUTAN;Residente;2
RS;POLÔNIA;Temporário;11
RS;MAURITÂNIA;Provisório;4
RS;LÍBIA;Residente;5
RS;ESPANHA;Temporário;31
RS;URUGUAI;Temporário;59
RS;INDONÉSIA;Residente;15
RS;HONDURAS;Temporário;15
RS;TOGO;Provisório;14
RS;FINLÂNDIA;Residente;9
RS;LITUÂNIA;Residente;9
RS;GANA;Provisório;22
RS;MALI;Residente;9
RS;BULGÁRIA;Residente;9
RS;REPÚBLICA TCHECA;Residente;12
RS;HAITI;Provisório;18
RS;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;6
RS;ISRAEL;Temporário;3
RS;IÊMEN;Residente;7
RS;SENEGAL;Temporário;64
RS;AUSTRIA;Temporário;4
RS;NOVA ZELÂNDIA;Residente;25
RS;EL SALVADOR;Provisório;3
RS;SAO TOMÉ E PRÍNCIPE;Temporário;6
RS;COSTA DO MARFIM;Temporário;5
RS;GUIANA;Temporário;4
RS;LETÔNIA;Residente;7
RS;LUXEMBURGO;Residente;4
RS;AFEGANISTÃO;Residente;23
RS;HUNGRIA;Residente;17
RS;SÉRVIA;Residente;6
RS;CHINA;Provisório;5
RS;NEPAL;Residente;5
RS;ARMÊNIA;Residente;3
RS;JAPÃO;Temporário;6
RS;GABÃO;Temporário;5
RS;GUATEMALA;Provisório;2
RS;ANGOLA;Provisório;14
RS;SÉRVIA;Temporário;5
RS;ALEMANHA;Provisório;2
RS;BURKINA FASO;Residente;3
RS;CONGO;Residente;24
RS;SUÉCIA;Temporário;8
RS;ARGÉLIA;Residente;3
RS;TUNÍSIA;Provisório;9
RS;FILIPINAS;Provisório;9
RS;NORUEGA;Temporário;8
RS;SAO TOMÉ E PRÍNCIPE;Residente;3
RS;NEPAL;Temporário;1
RS;BENIN;Provisório;2
RS;CORÉIA DO SUL;Temporário;8
RS;BÓSNIA-HERZEGOVINA;Residente;1
RS;RÚSSIA;Provisório;4
RS;BELARUS;Residente;9
RS;GRÉCIA;Temporário;2
RS;EL SALVADOR;Temporário;4
RS;GUINÉ EQUATORIAL;Temporário;6
